Date,Open,High,Low,Close,Currency
2015-01-01,0.0049,0.005,0.0049,0.005,PEN
2015-01-02,0.005,0.005,0.0049,0.0049,PEN
2015-01-04,0.0049,0.0049,0.0049,0.0049,PEN
2015-01-05,0.0049,0.0049,0.0048,0.0048,PEN
2015-01-06,0.0048,0.0049,0.0048,0.0048,PEN
2015-01-07,0.0048,0.0049,0.0048,0.0049,PEN
2015-01-08,0.0049,0.0049,0.0049,0.0049,PEN
2015-01-09,0.0049,0.0049,0.0049,0.0049,PEN
2015-01-11,0.0049,0.0049,0.0049,0.0049,PEN
2015-01-12,0.0049,0.0049,0.0048,0.0049,PEN
2015-01-13,0.0049,0.0049,0.0048,0.0048,PEN
2015-01-14,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-15,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-16,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-18,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-19,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-20,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-21,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-22,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-23,0.0048,0.0049,0.0048,0.0048,PEN
2015-01-25,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-26,0.0048,0.0048,0.0048,0.0048,PEN
2015-01-27,0.0048,0.0049,0.0048,0.0048,PEN
2015-01-28,0.0048,0.0049,0.0048,0.0049,PEN
2015-01-29,0.0049,0.0049,0.0048,0.0048,PEN
2015-01-30,0.0048,0.0048,0.0048,0.0048,PEN
2015-02-01,0.0048,0.0048,0.0048,0.0048,PEN
2015-02-02,0.0048,0.0049,0.0048,0.0049,PEN
2015-02-03,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-04,0.0049,0.0049,0.0048,0.0049,PEN
2015-02-05,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-06,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-08,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-09,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-10,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-11,0.0049,0.0049,0.0049,0.0049,PEN
2015-02-12,0.0049,0.005,0.0049,0.0049,PEN
2015-02-13,0.0049,0.005,0.0049,0.005,PEN
2015-02-15,0.005,0.005,0.005,0.005,PEN
2015-02-16,0.005,0.005,0.005,0.005,PEN
2015-02-17,0.005,0.005,0.005,0.005,PEN
2015-02-18,0.005,0.005,0.005,0.005,PEN
2015-02-19,0.005,0.005,0.005,0.005,PEN
